"","meas","perc","sec","elem","style"
"1","wtsum","0.1","12","Fe","H"
"2","wtsum","0.1","12","Cu","H"
"3","wtsum","0.1","12","Zn","H"
"4","wtsum","0.1","12","Pb","H"
"5","wtsum","0.1","16","Fe","H"
"6","wtsum","0.1","16","Cu","H"
"7","wtsum","0.1","16","Zn","H"
"8","wtsum","0.1","16","Pb","H"
"9","wtsum","0.1","20","Fe","H"
"10","wtsum","0.1","20","Cu","H"
"11","wtsum","0.1","20","Zn","H"
"12","wtsum","0.1","20","Pb","H"
"13","wtsum","0.1","24","Fe","H"
"14","wtsum","0.1","24","Cu","H"
"15","wtsum","0.1","24","Zn","H"
"16","wtsum","0.1","24","Pb","H"
"17","wtsum","0.15","12","Fe","H"
"18","wtsum","0.15","12","Cu","H"
"19","wtsum","0.15","12","Zn","H"
"20","wtsum","0.15","12","Pb","H"
"21","wtsum","0.15","16","Fe","H"
"22","wtsum","0.15","16","Cu","H"
"23","wtsum","0.15","16","Zn","H"
"24","wtsum","0.15","16","Pb","H"
"25","wtsum","0.15","20","Fe","H"
"26","wtsum","0.15","20","Cu","H"
"27","wtsum","0.15","20","Zn","H"
"28","wtsum","0.15","20","Pb","H"
"29","wtsum","0.15","24","Fe","H"
"30","wtsum","0.15","24","Cu","H"
"31","wtsum","0.15","24","Zn","H"
"32","wtsum","0.15","24","Pb","H"
"33","wtsum","0.25","12","Fe","H"
"34","wtsum","0.25","12","Cu","H"
"35","wtsum","0.25","12","Zn","H"
"36","wtsum","0.25","12","Pb","H"
"37","wtsum","0.25","16","Fe","H"
"38","wtsum","0.25","16","Cu","W"
"39","wtsum","0.25","16","Zn","H"
"40","wtsum","0.25","16","Pb","H"
"41","wtsum","0.25","20","Fe","H"
"42","wtsum","0.25","20","Cu","H"
"43","wtsum","0.25","20","Zn","H"
"44","wtsum","0.25","20","Pb","H"
"45","wtsum","0.25","24","Fe","H"
"46","wtsum","0.25","24","Cu","W"
"47","wtsum","0.25","24","Zn","H"
"48","wtsum","0.25","24","Pb","H"
"49","closestsrc","0.1","12","Fe","H"
"50","closestsrc","0.1","12","Cu","W"
"51","closestsrc","0.1","12","Zn","W"
"52","closestsrc","0.1","12","Pb","W"
"53","closestsrc","0.1","16","Fe","H"
"54","closestsrc","0.1","16","Cu","W"
"55","closestsrc","0.1","16","Zn","W"
"56","closestsrc","0.1","16","Pb","W"
"57","closestsrc","0.1","20","Fe","H"
"58","closestsrc","0.1","20","Cu","W"
"59","closestsrc","0.1","20","Zn","H"
"60","closestsrc","0.1","20","Pb","W"
"61","closestsrc","0.1","24","Fe","H"
"62","closestsrc","0.1","24","Cu","W"
"63","closestsrc","0.1","24","Zn","W"
"64","closestsrc","0.1","24","Pb","W"
"65","closestsrc","0.15","12","Fe","H"
"66","closestsrc","0.15","12","Cu","W"
"67","closestsrc","0.15","12","Zn","W"
"68","closestsrc","0.15","12","Pb","W"
"69","closestsrc","0.15","16","Fe","H"
"70","closestsrc","0.15","16","Cu","W"
"71","closestsrc","0.15","16","Zn","W"
"72","closestsrc","0.15","16","Pb","H"
"73","closestsrc","0.15","20","Fe","H"
"74","closestsrc","0.15","20","Cu","W"
"75","closestsrc","0.15","20","Zn","H"
"76","closestsrc","0.15","20","Pb","H"
"77","closestsrc","0.15","24","Fe","H"
"78","closestsrc","0.15","24","Cu","W"
"79","closestsrc","0.15","24","Zn","H"
"80","closestsrc","0.15","24","Pb","W"
"81","closestsrc","0.25","12","Fe","H"
"82","closestsrc","0.25","12","Cu","H"
"83","closestsrc","0.25","12","Zn","H"
"84","closestsrc","0.25","12","Pb","H"
"85","closestsrc","0.25","16","Fe","H"
"86","closestsrc","0.25","16","Cu","H"
"87","closestsrc","0.25","16","Zn","W"
"88","closestsrc","0.25","16","Pb","H"
"89","closestsrc","0.25","20","Fe","H"
"90","closestsrc","0.25","20","Cu","H"
"91","closestsrc","0.25","20","Zn","H"
"92","closestsrc","0.25","20","Pb","H"
"93","closestsrc","0.25","24","Fe","H"
"94","closestsrc","0.25","24","Cu","H"
"95","closestsrc","0.25","24","Zn","H"
"96","closestsrc","0.25","24","Pb","H"
"97","newwtsum","0.1","12","Fe","H"
"98","newwtsum","0.1","12","Cu","H"
"99","newwtsum","0.1","12","Zn","H"
"100","newwtsum","0.1","12","Pb","H"
"101","newwtsum","0.1","16","Fe","H"
"102","newwtsum","0.1","16","Cu","H"
"103","newwtsum","0.1","16","Zn","H"
"104","newwtsum","0.1","16","Pb","H"
"105","newwtsum","0.1","20","Fe","H"
"106","newwtsum","0.1","20","Cu","H"
"107","newwtsum","0.1","20","Zn","H"
"108","newwtsum","0.1","20","Pb","H"
"109","newwtsum","0.1","24","Fe","H"
"110","newwtsum","0.1","24","Cu","H"
"111","newwtsum","0.1","24","Zn","H"
"112","newwtsum","0.1","24","Pb","H"
"113","newwtsum","0.15","12","Fe","H"
"114","newwtsum","0.15","12","Cu","H"
"115","newwtsum","0.15","12","Zn","H"
"116","newwtsum","0.15","12","Pb","H"
"117","newwtsum","0.15","16","Fe","H"
"118","newwtsum","0.15","16","Cu","H"
"119","newwtsum","0.15","16","Zn","H"
"120","newwtsum","0.15","16","Pb","H"
"121","newwtsum","0.15","20","Fe","H"
"122","newwtsum","0.15","20","Cu","H"
"123","newwtsum","0.15","20","Zn","H"
"124","newwtsum","0.15","20","Pb","H"
"125","newwtsum","0.15","24","Fe","H"
"126","newwtsum","0.15","24","Cu","H"
"127","newwtsum","0.15","24","Zn","H"
"128","newwtsum","0.15","24","Pb","H"
"129","newwtsum","0.25","12","Fe","H"
"130","newwtsum","0.25","12","Cu","W"
"131","newwtsum","0.25","12","Zn","H"
"132","newwtsum","0.25","12","Pb","H"
"133","newwtsum","0.25","16","Fe","H"
"134","newwtsum","0.25","16","Cu","W"
"135","newwtsum","0.25","16","Zn","H"
"136","newwtsum","0.25","16","Pb","H"
"137","newwtsum","0.25","20","Fe","H"
"138","newwtsum","0.25","20","Cu","W"
"139","newwtsum","0.25","20","Zn","H"
"140","newwtsum","0.25","20","Pb","H"
"141","newwtsum","0.25","24","Fe","H"
"142","newwtsum","0.25","24","Cu","W"
"143","newwtsum","0.25","24","Zn","H"
"144","newwtsum","0.25","24","Pb","H"
